"행정구역","2022년08월_총인구수","2022년08월_세대수","2022년08월_세대당 인구","2022년08월_남자 인구수","2022년08월_여자 인구수","2022년08월_남여 비율"
"광주광역시 북구 중흥2동(2917052000)","8,548","4,463","          1.92","4,339","4,209","          1.03"
"광주광역시 북구 중흥3동(2917053000)","6,579","3,626","          1.81","3,376","3,203","          1.05"
"광주광역시 북구 중앙동(2917055500)","4,045","2,389","          1.69","2,134","1,911","          1.12"
"광주광역시 북구 임동(2917057000)","9,125","4,574","          1.99","4,487","4,638","          0.97"
"광주광역시 북구 신안동(2917058000)","12,353","7,248","          1.70","6,500","5,853","          1.11"
"광주광역시 북구 용봉동(2917059000)","37,986","17,882","          2.12","18,929","19,057","          0.99"
"광주광역시 북구 운암1동(2917060100)","19,099","7,466","          2.56","9,202","9,897","          0.93"
"광주광역시 북구 운암2동(2917060200)","11,688","6,080","          1.92","5,950","5,738","          1.04"
"광주광역시 북구 운암3동(2917060300)","13,317","5,423","          2.46","6,368","6,949","          0.92"
"광주광역시 북구 동림동(2917061500)","23,032","9,918","          2.32","11,289","11,743","          0.96"
"광주광역시 북구 우산동(2917062000)","10,102","5,603","          1.80","4,915","5,187","          0.95"
"광주광역시 북구 풍향동(2917063500)","5,607","2,771","          2.02","2,795","2,812","          0.99"
"광주광역시 북구 문화동(2917065000)","20,526","9,688","          2.12","10,096","10,430","          0.97"
"광주광역시 북구 문흥1동(2917065600)","15,609","6,465","          2.41","7,595","8,014","          0.95"
"광주광역시 북구 문흥2동(2917065700)","15,451","7,386","          2.09","7,380","8,071","          0.91"
"광주광역시 북구 두암1동(2917066100)","7,624","4,011","          1.90","3,766","3,858","          0.98"
"광주광역시 북구 두암2동(2917066200)","15,734","7,685","          2.05","7,739","7,995","          0.97"
"광주광역시 북구 두암3동(2917066300)","13,002","7,734","          1.68","6,200","6,802","          0.91"
"광주광역시 북구 삼각동(2917066600)","13,801","6,054","          2.28","7,127","6,674","          1.07"
"광주광역시 북구 일곡동(2917066900)","29,201","11,541","          2.53","14,273","14,928","          0.96"
"광주광역시 북구 매곡동(2917067300)","13,678","5,503","          2.49","6,669","7,009","          0.95"
"광주광역시 북구 오치1동(2917067600)","10,616","5,477","          1.94","5,400","5,216","          1.04"
"광주광역시 북구 오치2동(2917067700)","12,219","6,962","          1.76","5,981","6,238","          0.96"
"광주광역시 북구 석곡동(2917068500)","2,478","1,379","          1.80","1,277","1,201","          1.06"
"광주광역시 북구 건국동(2917069500)","21,932","9,085","          2.41","11,071","10,861","          1.02"
"광주광역시 북구 양산동(2917069600)","37,226","16,340","          2.28","18,680","18,546","          1.01"
"광주광역시 북구 신용동(2917069700)","29,463","11,829","          2.49","14,594","14,869","          0.98"
"광주광역시 광산구 (2920000000)","402,034","170,702","          2.36","202,619","199,415","          1.02"
"광주광역시 광산구 송정1동(2920051500)","10,733","4,868","          2.20","5,455","5,278","          1.03"
"광주광역시 광산구 송정2동(2920052500)","6,430","3,490","          1.84","3,177","3,253","          0.98"
"광주광역시 광산구 도산동(2920054000)","14,996","6,651","          2.25","7,553","7,443","          1.01"
"광주광역시 광산구 신흥동(2920055000)","4,484","2,036","          2.20","2,278","2,206","          1.03"
"광주광역시 광산구 어룡동(2920056500)","32,689","14,022","          2.33","16,732","15,957","          1.05"
"광주광역시 광산구 우산동(2920058000)","29,678","15,080","          1.97","15,063","14,615","          1.03"
"광주광역시 광산구 월곡1동(2920060000)","10,509","4,875","          2.16","5,364","5,145","          1.04"
"광주광역시 광산구 월곡2동(2920061000)","15,227","6,533","          2.33","7,645","7,582","          1.01"
"광주광역시 광산구 비아동(2920062000)","7,605","3,550","          2.14","4,002","3,603","          1.11"
"광주광역시 광산구 첨단1동(2920062400)","27,193","10,578","          2.57","13,545","13,648","          0.99"
"광주광역시 광산구 첨단2동(2920062600)","42,882","18,674","          2.30","21,647","21,235","          1.02"
"광주광역시 광산구 신가동(2920063000)","19,426","7,419","          2.62","9,858","9,568","          1.03"
"광주광역시 광산구 운남동(2920063500)","30,341","12,302","          2.47","14,793","15,548","          0.95"
"광주광역시 광산구 수완동(2920063700)","76,222","28,241","          2.70","37,545","38,677","          0.97"
"광주광역시 광산구 하남동(2920064000)","26,421","10,795","          2.45","13,632","12,789","          1.07"
"광주광역시 광산구 임곡동(2920065000)","2,088","1,261","          1.66","1,077","1,011","          1.07"
"광주광역시 광산구 동곡동(2920066000)","1,823","1,039","          1.75","935","888","          1.05"
"광주광역시 광산구 평동(2920067000)","4,628","2,844","          1.63","2,564","2,064","          1.24"
"광주광역시 광산구 삼도동(2920068000)","2,188","1,325","          1.65","1,142","1,046","          1.09"
"광주광역시 광산구 본량동(2920069000)","1,965","1,207","          1.63","991","974","          1.02"
"광주광역시 광산구 신창동(2920070000)","34,506","13,912","          2.48","17,621","16,885","          1.04"
"대전광역시  (3000000000)","1,448,240","672,491","          2.15","722,486","725,754","          1.00"
"대전광역시 동구 (3011000000)","220,724","108,585","          2.03","111,184","109,540","          1.02"
"대전광역시 동구 중앙동(3011051500)","4,284","2,971","          1.44","2,415","1,869","          1.29"
"대전광역시 동구 효동(3011053000)","24,195","9,545","          2.53","11,852","12,343","          0.96"
"대전광역시 동구 신인동(3011054500)","14,926","6,797","          2.20","7,358","7,568","          0.97"
"대전광역시 동구 판암1동(3011055100)","12,123","5,877","          2.06","5,910","6,213","          0.95"
"대전광역시 동구 판암2동(3011055200)","8,277","5,207","          1.59","4,023","4,254","          0.95"
"대전광역시 동구 용운동(3011056000)","21,766","10,317","          2.11","10,974","10,792","          1.02"
"대전광역시 동구 대동(3011058500)","14,304","6,190","          2.31","7,165","7,139","          1.00"
"대전광역시 동구 자양동(3011059000)","10,840","6,714","          1.61","5,740","5,100","          1.13"
"대전광역시 동구 가양1동(3011062000)","13,167","6,872","          1.92","6,820","6,347","          1.07"
"대전광역시 동구 가양2동(3011063000)","18,112","9,037","          2.00","9,065","9,047","          1.00"
"대전광역시 동구 용전동(3011064000)","20,322","11,567","          1.76","10,399","9,923","          1.05"
"대전광역시 동구 성남동(3011066500)","11,341","5,374","          2.11","5,639","5,702","          0.99"
"대전광역시 동구 홍도동(3011067000)","10,827","5,793","          1.87","5,512","5,315","          1.04"
"대전광역시 동구 삼성동(3011069500)","13,733","6,603","          2.08","6,988","6,745","          1.04"
"대전광역시 동구 대청동(3011072500)","2,368","1,254","          1.89","1,227","1,141","          1.08"
"대전광역시 동구 산내동(3011074000)","20,139","8,467","          2.38","10,097","10,042","          1.01"
"대전광역시 중구 (3014000000)","229,092","108,552","          2.11","112,685","116,407","          0.97"
"대전광역시 중구 은행선화동(3014053500)","15,242","9,152","          1.67","7,810","7,432","          1.05"
"대전광역시 중구 목동(3014055000)","16,089","5,602","          2.87","7,673","8,416","          0.91"
"대전광역시 중구 중촌동(3014056000)","14,004","6,685","          2.09","6,841","7,163","          0.96"
"대전광역시 중구 대흥동(3014057500)","13,481","7,527","          1.79","6,646","6,835","          0.97"
"대전광역시 중구 문창동(3014060500)","4,501","2,585","          1.74","2,336","2,165","          1.08"
"대전광역시 중구 석교동(3014062000)","15,290","7,719","          1.98","7,705","7,585","          1.02"
"대전광역시 중구 대사동(3014063000)","5,453","3,288","          1.66","2,635","2,818","          0.94"
"대전광역시 중구 부사동(3014064000)","6,654","3,519","          1.89","3,365","3,289","          1.02"
"대전광역시 중구 용두동(3014065500)","9,222","5,114","          1.80","4,481","4,741","          0.95"
"대전광역시 중구 오류동(3014067000)","10,534","5,037","          2.09","4,945","5,589","          0.88"
"대전광역시 중구 태평1동(3014068000)","13,068","5,184","          2.52","6,316","6,752","          0.94"
"대전광역시 중구 태평2동(3014069000)","25,065","9,567","          2.62","12,010","13,055","          0.92"
"대전광역시 중구 유천1동(3014070000)","6,192","3,505","          1.77","3,190","3,002","          1.06"
"대전광역시 중구 유천2동(3014071000)","13,481","6,452","          2.09","6,672","6,809","          0.98"
"대전광역시 중구 문화1동(3014072000)","21,636","8,743","          2.47","10,427","11,209","          0.93"
"대전광역시 중구 문화2동(3014073000)","12,362","6,103","          2.03","5,982","6,380","          0.94"
"대전광역시 중구 산성동(3014074000)","26,818","12,770","          2.10","13,651","13,167","          1.04"
"대전광역시 서구 (3017000000)","471,029","216,074","          2.18","231,500","239,529","          0.97"
"대전광역시 서구 복수동(3017051000)","22,034","8,781","          2.51","10,850","11,184","          0.97"
"대전광역시 서구 도마1동(3017052000)","16,591","8,723","          1.90","8,452","8,139","          1.04"
"대전광역시 서구 도마2동(3017053000)","17,246","8,391","          2.06","8,659","8,587","          1.01"
"대전광역시 서구 정림동(3017053500)","15,889","6,835","          2.32","7,733","8,156","          0.95"
"대전광역시 서구 변동(3017054000)","15,796","7,821","          2.02","8,033","7,763","          1.03"
"대전광역시 서구 용문동(3017055000)","12,209","7,279","          1.68","5,835","6,374","          0.92"
"대전광역시 서구 탄방동(3017055500)","26,770","14,648","          1.83","12,880","13,890","          0.93"
"대전광역시 서구 괴정동(3017056000)","19,043","11,510","          1.65","9,276","9,767","          0.95"
"대전광역시 서구 가장동(3017057000)","11,097","4,869","          2.28","5,352","5,745","          0.93"
"대전광역시 서구 내동(3017057500)","23,368","9,613","          2.43","11,220","12,148","          0.92"
"대전광역시 서구 갈마1동(3017058100)","21,553","11,702","          1.84","10,973","10,580","          1.04"
"대전광역시 서구 갈마2동(3017058200)","24,559","13,353","          1.84","12,367","12,192","          1.01"
"대전광역시 서구 월평1동(3017058600)","11,334","7,474","          1.52","6,108","5,226","          1.17"
"대전광역시 서구 월평2동(3017058700)","14,278","7,040","          2.03","6,746","7,532","          0.90"
"대전광역시 서구 월평3동(3017058800)","20,805","7,596","          2.74","10,177","10,628","          0.96"
"대전광역시 서구 가수원동(3017059000)","10,868","4,928","          2.21","5,331","5,537","          0.96"
"대전광역시 서구 도안동(3017059300)","35,929","13,509","          2.66","17,652","18,277","          0.97"
"대전광역시 서구 관저1동(3017059600)","15,253","6,533","          2.33","7,246","8,007","          0.90"
"대전광역시 서구 관저2동(3017059700)","49,114","19,314","          2.54","23,945","25,169","          0.95"
"대전광역시 서구 기성동(3017060000)","3,617","1,918","          1.89","1,866","1,751","          1.07"
"대전광역시 서구 둔산1동(3017063000)","16,577","5,783","          2.87","8,141","8,436","          0.97"
"대전광역시 서구 둔산2동(3017064000)","35,087","14,460","          2.43","16,917","18,170","          0.93"
"대전광역시 서구 만년동(3017065000)","12,605","6,049","          2.08","6,369","6,236","          1.02"
"대전광역시 서구 둔산3동(3017066000)","19,407","7,945","          2.44","9,372","10,035","          0.93"
"대전광역시 유성구 (3020000000)","353,263","158,563","          2.23","178,602","174,661","          1.02"
"대전광역시 유성구 진잠동(3020052000)","25,055","11,497","          2.18","12,787","12,268","          1.04"
"대전광역시 유성구 학하동(3020052600)","17,255","7,781","          2.22","8,873","8,382","          1.06"
"대전광역시 유성구 상대동(3020052700)","25,054","9,097","          2.75","12,248","12,806","          0.96"
"대전광역시 유성구 온천1동(3020053000)","26,755","17,786","          1.50","13,872","12,883","          1.08"
"대전광역시 유성구 온천2동(3020054000)","39,807","20,292","          1.96","20,771","19,036","          1.09"
"대전광역시 유성구 노은1동(3020054600)","21,534","8,874","          2.43","10,714","10,820","          0.99"
"대전광역시 유성구 노은2동(3020054700)","24,056","9,524","          2.53","11,830","12,226","          0.97"
"대전광역시 유성구 노은3동(3020054800)","36,894","14,141","          2.61","18,063","18,831","          0.96"
"대전광역시 유성구 신성동(3020055000)","26,031","12,046","          2.16","13,637","12,394","          1.10"
"대전광역시 유성구 전민동(3020057000)","26,805","11,532","          2.32","13,733","13,072","          1.05"
"대전광역시 유성구 구즉동(3020058000)","28,461","12,603","          2.26","14,598","13,863","          1.05"
"대전광역시 유성구 관평동(3020060000)","28,411","10,823","          2.63","14,559","13,852","          1.05"
"대전광역시 유성구 원신흥동(3020061000)","27,145","12,567","          2.16","12,917","14,228","          0.91"
"대전광역시 대덕구 (3023000000)","174,132","80,717","          2.16","88,515","85,617","          1.03"
"대전광역시 대덕구 오정동(3023051000)","14,295","7,632","          1.87","7,551","6,744","          1.12"
"대전광역시 대덕구 대화동(3023052000)","6,807","3,516","          1.94","3,589","3,218","          1.12"
"대전광역시 대덕구 회덕동(3023052500)","11,963","5,574","          2.15","6,097","5,866","          1.04"
"대전광역시 대덕구 비래동(3023053300)","15,904","7,050","          2.26","7,895","8,009","          0.99"
"대전광역시 대덕구 송촌동(3023054300)","26,702","10,369","          2.58","13,186","13,516","          0.98"
"대전광역시 대덕구 중리동(3023054600)","19,347","10,446","          1.85","10,045","9,302","          1.08"
"대전광역시 대덕구 신탄진동(3023055000)","14,610","6,949","          2.10","7,530","7,080","          1.06"
"대전광역시 대덕구 석봉동(3023056000)","16,211","6,509","          2.49","8,293","7,918","          1.05"
"대전광역시 대덕구 덕암동(3023057000)","13,456","6,631","          2.03","7,177","6,279","          1.14"
"대전광역시 대덕구 목상동(3023058000)","6,383","3,223","          1.98","3,487","2,896","          1.20"
"대전광역시 대덕구 법1동(3023060000)","12,902","5,991","          2.15","6,074","6,828","          0.89"
"대전광역시 대덕구 법2동(3023061000)","15,552","6,827","          2.28","7,591","7,961","          0.95"
"울산광역시  (3100000000)","1,113,458","486,060","          2.29","571,867","541,591","          1.06"
"울산광역시 중구 (3111000000)","209,642","93,554","          2.24","106,090","103,552","          1.02"
"울산광역시 중구 학성동(3111051000)","11,142","5,892","          1.89","5,697","5,445","          1.05"
"울산광역시 중구 반구1동(3111052000)","16,435","7,766","          2.12","8,565","7,870","          1.09"
"울산광역시 중구 반구2동(3111053000)","8,573","4,371","          1.96","4,365","4,208","          1.04"
"울산광역시 중구 복산1동(3111054000)","4,048","1,887","          2.15","2,008","2,040","          0.98"
"울산광역시 중구 복산2동(3111055000)","10,973","4,758","          2.31","5,449","5,524","          0.99"
"울산광역시 중구 중앙동(3111058500)","12,308","6,952","          1.77","6,344","5,964","          1.06"
"울산광역시 중구 우정동(3111059000)","17,787","8,005","          2.22","8,819","8,968","          0.98"
"울산광역시 중구 태화동(3111060000)","32,635","12,722","          2.57","16,250","16,385","          0.99"
"울산광역시 중구 다운동(3111061000)","22,511","10,797","          2.08","11,475","11,036","          1.04"
"울산광역시 중구 병영1동(3111062000)","21,663","9,305","          2.33","11,021","10,642","          1.04"
"울산광역시 중구 병영2동(3111063000)","20,097","8,708","          2.31","10,108","9,989","          1.01"
"울산광역시 중구 약사동(3111064000)","10,762","3,855","          2.79","5,380","5,382","          1.00"
"울산광역시 중구 성안동(3111065000)","20,708","8,536","          2.43","10,609","10,099","          1.05"
"울산광역시 남구 (3114000000)","311,396","139,534","          2.23","158,726","152,670","          1.04"
"울산광역시 남구 신정1동(3114051000)","18,197","9,708","          1.87","9,121","9,076","          1.00"
"울산광역시 남구 신정2동(3114052000)","23,899","9,678","          2.47","12,150","11,749","          1.03"
"울산광역시 남구 신정3동(3114053000)","16,157","7,703","          2.10","8,224","7,933","          1.04"
"울산광역시 남구 신정4동(3114054000)","20,414","8,392","          2.43","10,282","10,132","          1.01"
"울산광역시 남구 신정5동(3114055000)","8,784","4,772","          1.84","4,685","4,099","          1.14"
"울산광역시 남구 달동(3114056000)","26,843","13,736","          1.95","13,566","13,277","          1.02"
"울산광역시 남구 삼산동(3114057000)","48,701","23,724","          2.05","25,401","23,300","          1.09"
"울산광역시 남구 삼호동(3114058500)","20,066","9,335","          2.15","10,215","9,851","          1.04"
"울산광역시 남구 무거동(3114059500)","31,723","13,734","          2.31","16,279","15,444","          1.05"
"울산광역시 남구 옥동(3114060000)","25,832","9,867","          2.62","12,952","12,880","          1.01"
"울산광역시 남구 대현동(3114062500)","31,055","11,969","          2.59","15,547","15,508","          1.00"
"울산광역시 남구 수암동(3114063500)","16,438","6,060","          2.71","8,205","8,233","          1.00"
"울산광역시 남구 선암동(3114064000)","14,074","6,021","          2.34","7,255","6,819","          1.06"
"울산광역시 남구 야음장생포동(3114067000)","9,213","4,835","          1.91","4,844","4,369","          1.11"
"울산광역시 동구 (3117000000)","152,322","66,420","          2.29","79,515","72,807","          1.09"
"울산광역시 동구 방어동(3117051000)","39,860","18,269","          2.18","21,516","18,344","          1.17"
"울산광역시 동구 일산동(3117052000)","5,490","3,026","          1.81","2,934","2,556","          1.15"
"울산광역시 동구 화정동(3117053000)","19,215","8,255","          2.33","9,853","9,362","          1.05"
"울산광역시 동구 대송동(3117054000)","11,383","5,110","          2.23","5,974","5,409","          1.10"
"울산광역시 동구 전하1동(3117055000)","15,074","6,758","          2.23","7,759","7,315","          1.06"
"울산광역시 동구 전하2동(3117056000)","20,236","7,813","          2.59","10,270","9,966","          1.03"
"울산광역시 동구 남목1동(3117058000)","8,589","3,673","          2.34","4,381","4,208","          1.04"
"울산광역시 동구 남목2동(3117059000)","20,689","8,652","          2.39","10,880","9,809","          1.11"
"울산광역시 동구 남목3동(3117060000)","11,786","4,864","          2.42","5,948","5,838","          1.02"
"울산광역시 북구 (3120000000)","218,489","86,784","          2.52","112,951","105,538","          1.07"
"울산광역시 북구 농소1동(3120051000)","36,526","14,462","          2.53","18,682","17,844","          1.05"
"울산광역시 북구 농소2동(3120052000)","42,049","15,812","          2.66","21,304","20,745","          1.03"
"울산광역시 북구 농소3동(3120053000)","37,621","13,166","          2.86","19,070","18,551","          1.03"
"울산광역시 북구 강동동(3120054000)","16,369","6,646","          2.46","8,400","7,969","          1.05"
"울산광역시 북구 효문동(3120056000)","29,216","13,051","          2.24","15,719","13,497","          1.16"
"울산광역시 북구 송정동(3120057000)","36,781","14,202","          2.59","18,634","18,147","          1.03"
"울산광역시 북구 양정동(3120058000)","9,662","4,739","          2.04","5,616","4,046","          1.39"
"울산광역시 북구 염포동(3120059000)","10,265","4,706","          2.18","5,526","4,739","          1.17"
"울산광역시 울주군 (3171000000)","221,609","99,768","          2.22","114,585","107,024","          1.07"
"울산광역시 울주군 온산읍(3171025000)","20,397","11,027","          1.85","11,806","8,591","          1.37"
"울산광역시 울주군 언양읍(3171025300)","28,623","12,659","          2.26","14,342","14,281","          1.00"
"울산광역시 울주군 온양읍(3171025600)","28,501","12,299","          2.32","14,816","13,685","          1.08"
"울산광역시 울주군 범서읍(3171025900)","69,034","25,261","          2.73","34,706","34,328","          1.01"
"울산광역시 울주군 청량읍(3171026200)","18,979","8,422","          2.25","9,793","9,186","          1.07"
"울산광역시 울주군 삼남읍(3171026500)","22,709","11,594","          1.96","11,778","10,931","          1.08"
"울산광역시 울주군 서생면(3171031000)","8,446","4,570","          1.85","4,576","3,870","          1.18"
"울산광역시 울주군 웅촌면(3171034000)","7,822","4,325","          1.81","4,017","3,805","          1.06"
"울산광역시 울주군 두동면(3171036000)","4,262","2,424","          1.76","2,205","2,057","          1.07"
"울산광역시 울주군 두서면(3171037000)","3,106","1,901","          1.63","1,564","1,542","          1.01"
"울산광역시 울주군 상북면(3171038000)","7,975","4,243","          1.88","4,056","3,919","          1.03"
"울산광역시 울주군 삼동면(3171040000)","1,755","1,043","          1.68","926","829","          1.12"
"세종특별자치시  (3600000000)","381,439","158,798","          2.40","190,276","191,163","          1.00"
"세종특별자치시  (3611000000)","381,439","158,798","          2.40","190,276","191,163","          1.00"
"세종특별자치시  조치원읍(3611025000)","42,697","20,997","          2.03","22,290","20,407","          1.09"
"세종특별자치시  연기면(3611031000)","2,684","1,638","          1.64","1,518","1,166","          1.30"
"세종특별자치시  연동면(3611032000)","3,058","1,740","          1.76","1,611","1,447","          1.11"
"세종특별자치시  부강면(3611033000)","6,007","3,340","          1.80","3,318","2,689","          1.23"
"세종특별자치시  금남면(3611034000)","8,753","4,861","          1.80","4,669","4,084","          1.14"
"세종특별자치시  장군면(3611035000)","6,951","4,274","          1.63","4,061","2,890","          1.41"
"세종특별자치시  연서면(3611036000)","7,312","3,950","          1.85","4,004","3,308","          1.21"
"세종특별자치시  전의면(3611037000)","5,519","3,067","          1.80","2,942","2,577","          1.14"
"세종특별자치시  전동면(3611038000)","3,341","1,969","          1.70","1,795","1,546","          1.16"
"세종특별자치시  소정면(3611039000)","2,220","1,155","          1.92","1,179","1,041","          1.13"
"세종특별자치시  한솔동(3611051000)","18,355","6,390","          2.87","9,047","9,308","          0.97"
"세종특별자치시  새롬동(3611051500)","39,521","15,751","          2.51","19,218","20,303","          0.95"
"세종특별자치시  도담동(3611052000)","35,177","15,050","          2.34","16,948","18,229","          0.93"
"세종특별자치시  해밀동(3611052500)","8,685","3,114","          2.79","4,237","4,448","          0.95"
"세종특별자치시  아름동(3611053000)","23,350","7,859","          2.97","11,546","11,804","          0.98"
"세종특별자치시  종촌동(3611054000)","28,722","10,830","          2.65","13,954","14,768","          0.94"
"세종특별자치시  고운동(3611055000)","34,817","12,211","          2.85","17,050","17,767","          0.96"
"세종특별자치시  소담동(3611055500)","21,576","8,275","          2.61","10,490","11,086","          0.95"
"세종특별자치시  반곡동(3611055600)","24,175","10,236","          2.36","11,914","12,261","          0.97"
"세종특별자치시  보람동(3611056000)","18,890","6,939","          2.72","9,284","9,606","          0.97"
"세종특별자치시  대평동(3611057000)","11,264","4,365","          2.58","5,595","5,669","          0.99"
"세종특별자치시  다정동(3611058000)","28,365","10,787","          2.63","13,606","14,759","          0.92"
"경기도  (4100000000)","13,590,056","5,910,963","          2.30","6,840,757","6,749,299","          1.01"
"경기도 수원시 (4111000000)","1,186,961","526,086","          2.26","597,881","589,080","          1.01"
"경기도 수원시 장안구 (4111100000)","272,638","119,481","          2.28","137,269","135,369","          1.01"
"경기도 수원시 장안구 파장동(4111156000)","23,031","10,709","          2.15","11,676","11,355","          1.03"
"경기도 수원시 장안구 율천동(4111156600)","41,853","20,168","          2.08","22,147","19,706","          1.12"
"경기도 수원시 장안구 정자1동(4111157100)","28,424","10,912","          2.60","13,984","14,440","          0.97"
"경기도 수원시 장안구 정자2동(4111157200)","36,645","15,248","          2.40","17,983","18,662","          0.96"
"경기도 수원시 장안구 정자3동(4111157300)","40,624","14,229","          2.86","20,277","20,347","          1.00"
"경기도 수원시 장안구 영화동(4111158000)","19,618","10,744","          1.83","10,002","9,616","          1.04"
"경기도 수원시 장안구 송죽동(4111159100)","19,249","8,960","          2.15","9,547","9,702","          0.98"
"경기도 수원시 장안구 조원1동(4111159700)","29,315","13,518","          2.17","14,818","14,497","          1.02"
"경기도 수원시 장안구 조원2동(4111159800)","18,150","6,500","          2.79","8,695","9,455","          0.92"
"경기도 수원시 장안구 연무동(4111160000)","15,729","8,493","          1.85","8,140","7,589","          1.07"
"경기도 수원시 권선구 (4111300000)","368,047","160,721","          2.29","186,032","182,015","          1.02"
"경기도 수원시 권선구 세류1동(4111352000)","9,927","4,420","          2.25","5,012","4,915","          1.02"
"경기도 수원시 권선구 세류2동(4111353000)","23,686","12,617","          1.88","12,240","11,446","          1.07"
"경기도 수원시 권선구 세류3동(4111354000)","18,514","9,194","          2.01","9,305","9,209","          1.01"
"경기도 수원시 권선구 평동(4111355000)","39,721","16,521","          2.40","20,125","19,596","          1.03"
"경기도 수원시 권선구 서둔동(4111356000)","37,610","17,332","          2.17","19,181","18,429","          1.04"
"경기도 수원시 권선구 구운동(4111365000)","24,028","10,835","          2.22","12,168","11,860","          1.03"
"경기도 수원시 권선구 금곡동(4111366200)","45,145","17,660","          2.56","22,273","22,872","          0.97"
"경기도 수원시 권선구 호매실동(4111366400)","45,586","17,264","          2.64","22,616","22,970","          0.98"
"경기도 수원시 권선구 권선1동(4111367000)","24,618","13,526","          1.82","12,614","12,004","          1.05"
"경기도 수원시 권선구 권선2동(4111368000)","47,624","17,245","          2.76","23,429","24,195","          0.97"
"경기도 수원시 권선구 곡선동(4111369000)","35,357","17,959","          1.97","18,819","16,538","          1.14"
"경기도 수원시 권선구 입북동(4111370000)","16,231","6,148","          2.64","8,250","7,981","          1.03"
"경기도 수원시 팔달구 (4111500000)","185,563","93,168","          1.99","93,446","92,117","          1.01"
"경기도 수원시 팔달구 매교동(4111565000)","10,716","5,119","          2.09","5,575","5,141","          1.08"
"경기도 수원시 팔달구 매산동(4111566000)","10,100","5,956","          1.70","5,442","4,658","          1.17"
"경기도 수원시 팔달구 고등동(4111567000)","20,572","9,725","          2.12","10,370","10,202","          1.02"
"경기도 수원시 팔달구 화서1동(4111568000)","22,143","9,996","          2.22","10,743","11,400","          0.94"
"경기도 수원시 팔달구 화서2동(4111569000)","25,333","9,571","          2.65","12,444","12,889","          0.97"
"경기도 수원시 팔달구 지동(4111570000)","10,237","5,467","          1.87","5,223","5,014","          1.04"
"경기도 수원시 팔달구 우만1동(4111571000)","19,759","10,842","          1.82","9,871","9,888","          1.00"
"경기도 수원시 팔달구 우만2동(4111572000)","17,094","7,852","          2.18","8,556","8,538","          1.00"
"경기도 수원시 팔달구 인계동(4111573000)","39,427","22,200","          1.78","19,783","19,644","          1.01"
"경기도 수원시 팔달구 행궁동(4111574000)","10,182","6,440","          1.58","5,439","4,743","          1.15"
"경기도 수원시 영통구 (4111700000)","360,713","152,716","          2.36","181,134","179,579","          1.01"
"경기도 수원시 영통구 매탄1동(4111751000)","16,877","7,505","          2.25","8,519","8,358","          1.02"
"경기도 수원시 영통구 매탄2동(4111752000)","14,392","6,508","          2.21","7,184","7,208","          1.00"
"경기도 수원시 영통구 매탄3동(4111753000)","35,421","15,963","          2.22","18,452","16,969","          1.09"
"경기도 수원시 영통구 매탄4동(4111754000)","21,042","9,535","          2.21","10,290","10,752","          0.96"
"경기도 수원시 영통구 원천동(4111755000)","40,191","19,250","          2.09","20,324","19,867","          1.02"
"경기도 수원시 영통구 영통1동(4111757000)","34,060","12,568","          2.71","16,757","17,303","          0.97"
"경기도 수원시 영통구 영통2동(4111758000)","26,195","13,481","          1.94","13,957","12,238","          1.14"
"경기도 수원시 영통구 영통3동(4111758500)","32,259","13,733","          2.35","16,587","15,672","          1.06"
"경기도 수원시 영통구 망포1동(4111759300)","30,621","10,874","          2.82","15,392","15,229","          1.01"
"경기도 수원시 영통구 망포2동(4111759600)","27,620","9,434","          2.93","13,776","13,844","          1.00"
"경기도 수원시 영통구 광교1동(4111760000)","52,857","22,198","          2.38","25,933","26,924","          0.96"
"경기도 수원시 영통구 광교2동(4111761000)","29,178","11,667","          2.50","13,963","15,215","          0.92"
"경기도 성남시 (4113000000)","924,333","409,464","          2.26","457,808","466,525","          0.98"
"경기도 성남시 수정구 (4113100000)","234,303","114,914","          2.04","118,783","115,520","          1.03"
"경기도 성남시 수정구 신흥1동(4113151000)","13,386","8,044","          1.66","7,071","6,315","          1.12"
"경기도 성남시 수정구 신흥2동(4113152000)","20,110","7,711","          2.61","9,787","10,323","          0.95"
"경기도 성남시 수정구 신흥3동(4113153000)","11,261","6,543","          1.72","5,986","5,275","          1.13"
"경기도 성남시 수정구 태평1동(4113154000)","15,304","8,930","          1.71","7,932","7,372","          1.08"
"경기도 성남시 수정구 태평2동(4113155000)","15,233","8,028","          1.90","7,658","7,575","          1.01"
"경기도 성남시 수정구 태평3동(4113156000)","13,183","6,931","          1.90","6,782","6,401","          1.06"
"경기도 성남시 수정구 태평4동(4113156100)","12,972","6,653","          1.95","6,593","6,379","          1.03"
"경기도 성남시 수정구 수진1동(4113157000)","12,201","7,336","          1.66","6,415","5,786","          1.11"
"경기도 성남시 수정구 수진2동(4113158000)","15,750","7,857","          2.00","7,979","7,771","          1.03"
"경기도 성남시 수정구 단대동(4113159000)","15,420","6,739","          2.29","7,551","7,869","          0.96"
"경기도 성남시 수정구 산성동(4113160000)","5,109","2,367","          2.16","2,595","2,514","          1.03"
"경기도 성남시 수정구 양지동(4113161000)","9,819","4,403","          2.23","4,852","4,967","          0.98"
"경기도 성남시 수정구 복정동(4113162000)","10,885","6,813","          1.60","6,100","4,785","          1.27"
